brand,region,country,store_type,channel,shop_cd,shop_name,month,net_sales,gross_profit,sga,operating_profit,rent,base_rent,government_rate,turnover_rates,service_fees,other_fees,freight_expense,ad_promo,payroll,gross_margin_rate,service_fee_rate,turnover_rate,other_fee_rate,freight_rate,ad_promo_rate,payroll_rate,rent_rule_type,service_fee_rule_type,turnover_formula,service_fee_formula,notes
M,TW,TW,기존점,리테일,T06,중우타이중,2603,433.3333333333333,257.03725761754947,157.84943969532702,99.18781792222245,72.10445870683711,,,,6.86520020877314,2.5960292541240126,23.01005048490957,9.607750253434467,31.05539587291148,0.593162902194345,0.0158427697125534,,0.005990836740286183,0.053100116503637475,0.02217173135407954,0.07166629816825726,blank_or_zero,global_multiplier,,=+AZ1319*$BZ$1066,
M,TW,TW,기존점,리테일,T07,빅시티,2603,,,,,,,,,,,,,,,,,,,,,blank_or_zero,blank_or_zero,,,
M,TW,TW,기존점,리테일,T08,한신아레나,2603,761.9047619047619,455.23809523809524,246.3377778594388,208.90031737865644,160.0,,,,0.0,0.5440128361533975,5.273297758446932,0.0,27.075397963613224,0.5975,0.0,,0.0007140168474513342,0.006921203307961599,0.0,0.03553645982724236,blank_or_zero,global_multiplier,,=+AZ1409*$BZ$1066,
M,TW,TW,기존점,리테일,T09,성품타이중,2603,,,,0.0,,,,,,,,,,,,,,,,,blank_or_zero,blank_or_zero,,,
M,TW,TW,기존점,리테일,T10,원동반치아오,2603,461.90476190476187,275.9880952380952,187.65083581291847,88.33725942517671,100.03487425772832,,,,7.155582171537687,4.194943425449532,24.593490513340058,3.0537253869410708,35.5416883950565,0.5974999999999999,0.015491466556937263,,0.009081836281901049,0.05324363925568466,0.006611158054202319,0.07694592332950376,blank_or_zero,global_multiplier,,=+AZ1469*$BZ$1066,
M,TW,TW,기존점,리테일,T11,난팡 TS Mall,2603,350.0,209.125,131.68021831135627,77.44478168864373,54.07159263777648,,,,4.817052326526283,4.800611049700314,21.033228730069492,0.8336694484697397,29.403289335384294,0.5975,0.01376300664721795,,0.013716031570572326,0.060094939228769975,0.002381912709913542,0.08400939810109798,blank_or_zero,global_multiplier,,=+AZ1499*$BZ$1066,
M,TW,TW,기존점,리테일,T12,Taimall,2603,476.19047619047615,284.5238095238095,170.45255994095675,114.07124958285277,71.91213839404111,,,,5.819970212910413,7.1372066268498395,22.70999718283563,1.4806820482681802,41.99682381711135,0.5975,0.012221937447111869,,0.014988133916384665,0.04769099408395482,0.003109432301363179,0.08819333001593384,blank_or_zero,global_multiplier,,=+AZ1529*$BZ$1066,
M,TW,TW,기존점,리테일,T13,SKM Tainan,2603,326.1904761904762,194.89880952380952,154.1655935851159,40.73321593869363,72.15335222045248,,,,5.0704414164323985,9.46654869951732,17.710640110327272,4.9838829296133245,32.45943255715272,0.5974999999999999,0.015544418940887645,,0.029021536159104192,0.05429539303895952,0.015279057156478804,0.0995106691533149,blank_or_zero,global_multiplier,,=+AZ1559*$BZ$1066,
M,TW,TW,신규점,리테일,T14,MetroWalk (40PY),2603,280.95238095238096,167.86904761904765,145.85432239236405,22.014725226683595,45.43594791785064,,,,3.941070768577946,2.2517295747095956,15.309488343287542,2.7771250826924105,29.025139968387002,0.5975,0.01402754002375201,,0.008014630689644323,0.054491399187972606,0.009884682497718749,0.1033098202264622,blank_or_zero,global_multiplier,,=+AZ1769*$BZ$1066,
M,TW,TW,신규점,리테일,T15,Eslite Xindian (25-30PY),2603,,,,,,,,,,,,,,,,,,,,,blank_or_zero,blank_or_zero,,,
M,TW,TW,신규점,리테일,T16,SOGO Zhongxiao (35PY),2603,,,,0.0,,,,,,,,,,,,,,,,,blank_or_zero,blank_or_zero,,,
M,TW,TW,신규점,리테일,T17,Lalaport Nangang(50PY),2603,595.2380952380952,355.6547619047618,197.2899356355241,158.3648262692377,95.23809523809523,,,,10.220907462686569,9.629176119402986,13.917110447761198,12.604519402985076,0.0,0.5974999999999999,0.017171124537313436,,0.01617701588059702,0.023380745552238815,0.02117559259701493,0.0,blank_or_zero,manual_value,,=+BV1829,
M,TW,TW,신규점,리테일,T18,Lalaport Taichung,2603,547.6190476190476,327.2023809523809,226.79491496598638,100.40746598639453,87.61904761904762,,,,6.242602040816327,6.394642857142857,26.520663265306123,1.4517857142857142,19.50137755102041,0.5974999999999999,0.011399534161490685,,0.011677173913043478,0.04842903726708075,0.002651086956521739,0.03561121118012423,blank_or_zero,manual_value,,=+BS1859,
M,TW,TW,신규점,리테일,T19,Hanshin TC,2603,,,,0.0,,,,,,,,,,,,,,,,,blank_or_zero,blank_or_zero,,,
M,TW,TW,기존점,아울렛,TU1,Mitsui Outlet,2603,402.38095238095235,146.06530242378096,159.118768248984,-13.053465825203034,64.86451934642207,,,,5.937960552485016,7.732477561343024,22.607239202673316,1.1008401968917416,34.13958597867714,0.36300252673365685,0.014757061728069272,,0.019216808140615802,0.056183671391259134,0.0027358158739321393,0.08484394148546982,blank_or_zero,global_multiplier,,=+AZ1259*$BZ$1066,
M,TW,TW,기존점,아울렛,TU2,린커우아울렛,2603,350.0,129.1618880177275,128.03318127703818,1.1287067406893243,42.60445870683711,,,,5.56972430827985,6.222539711663927,20.314648219381535,1.4151587244470378,34.1976140145335,0.36903396576493575,0.015913498023656717,,0.01777868489046836,0.05804185205537581,0.0040433106412772505,0.09770746861295286,blank_or_zero,global_multiplier,,=+AZ1349*$BZ$1066,
M,TW,TW,신규점,아울렛,TU3,Gloria Taoyuan,2603,800.0,478.0,271.6278051404021,206.37219485959793,96.60445870683711,,,,12.795665473293376,11.09907077494298,41.918002401739784,0.7253504482045299,57.184211501617796,0.5975,0.015994581841616718,,0.013873838468678725,0.05239750300217473,0.0009066880602556623,0.07148026437702225,blank_or_zero,global_multiplier,,=+AZ1799*$BZ$1066,
M,TW,TW,오피스,오피스,T99,오피스,2603,0.0,0.0,1199.6276213406886,-1199.6276213406886,78.51486015551903,,,,1.260394804009972,61.4425209424495,5.079902835198643,184.59559012655814,706.8937087695327,,,,,,,,blank_or_zero,global_multiplier,,=+AZ1080*$BZ$1069,
X,TW,TW,오피스,오피스,T99,오피스,2603,0.0,0.0,99.49349037524152,-99.49349037524152,0.0,,,,33.347289081885855,,,56.048701293355656,,,,,,,,,blank_or_zero,manual_value,,=+$BJ$1109/12,
X,TW,TW,기존점,온라인,DE1,Momo,2603,357.1428571428571,210.08052791031636,129.05933084917922,81.02119706113714,0.0,,,,,49.74979028780426,31.927764807094842,35.60771349540492,0.0,0.5882254781488858,,,0.13929941280585195,0.08939774145986557,0.09970159778713379,0.0,blank_or_zero,blank_or_zero,,,Online store: include rent and service-fee rules together.
X,TW,TW,기존점,온라인,DE2,자사몰,2603,190.47619047619048,109.29971988795518,45.98190160139862,63.31781828655656,0.0,,,,2.6865171533834293,2.2302108447461944,10.337546166998901,30.700215936773994,0.0,0.5738235294117646,0.014104215055263004,,0.01170860693491752,0.054272117376744235,0.16117613366806346,0.0,blank_or_zero,sales_ratio_from_base_month,,=+BM2108*$BJ2129/$BJ$2108,Online store: include rent and service-fee rules together. Service fee is scaled from base-month service-fee ratio.
M,TW,TW,기존점,온라인,TE1,Momo,2603,1269.047619047619,758.2559523809524,397.083628144717,361.1723242362354,0.0,,,,133.02490092805382,1.0885092392722644,107.73452718415933,113.71518032046447,0.0,0.5975,0.10482262362060527,,0.0008577371116216718,0.08489399890684225,0.08960670869530034,0.0,blank_or_zero,sales_ratio_from_base_month,,=+BM$1568*$BJ1589/$BJ$1568,Online store: include rent and service-fee rules together. Service fee is scaled from base-month service-fee ratio.
M,TW,TW,기존점,온라인,TE2,자사몰,2603,1428.5714285714284,853.5714285714286,167.29106942752105,686.2803591439075,0.0,,,,68.97127453196491,0.0,74.66112337907632,7.272933507844599,0.0,0.5975,0.04827989217237544,,0.0,0.05226278636535343,0.00509105345549122,0.0,blank_or_zero,sales_ratio_from_base_month,,=+BM$1598*$BJ1619/$BJ$1598,Online store: include rent and service-fee rules together. Service fee is scaled from base-month service-fee ratio.
M,TW,TW,기존점,온라인,TE3,Shopee,2603,611.9047619047619,365.6130952380953,148.05398833289132,217.55910690520398,0.0,,,,0.0,47.663503301967864,31.11298907335703,68.19769092367264,0.0,0.5975,0.0,,0.07789366298376071,0.050846130003151566,0.1114514793305156,0.0,blank_or_zero,sales_ratio_from_base_month,,=+BM$1628*$BJ1649/$BJ$1628,Online store: include rent and service-fee rules together. Service fee is scaled from base-month service-fee ratio.
M,TW,TW,신규점,온라인,TE4,Line Gift,2603,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,Online store: include rent and service-fee rules together.
