sheet_name,summary_year,category,ttl_sold_amt,amt_vs_ly,ttl_sold_gross,disc_off,gross_vs_ly,month_name,month_code,sold_amt,sold_gross
2026 PLAN (2),2026,WEAR,140692921.09,1.149790470164513,175018112.87515122,0.1961236538394001,-0.04520462297708128,JUN,2606,9590780.0,11994167.85917786
2026 PLAN (2),2026,WEAR,140692921.09,1.149790470164513,175018112.87515122,0.1961236538394001,-0.04520462297708128,JUL,2607,11137500.0,14536581.510594668
2026 PLAN (2),2026,WEAR,140692921.09,1.149790470164513,175018112.87515122,0.1961236538394001,-0.04520462297708128,AUG,2608,10971900.0,14374611.562998405
2026 PLAN (2),2026,WEAR,140692921.09,1.149790470164513,175018112.87515122,0.1961236538394001,-0.04520462297708128,SEP,2609,7623000.0,10059745.614035089
2026 PLAN (2),2026,WEAR,140692921.09,1.149790470164513,175018112.87515122,0.1961236538394001,-0.04520462297708128,OCT,2610,11572240.0,13756840.416308837
2026 PLAN (2),2026,WEAR,140692921.09,1.149790470164513,175018112.87515122,0.1961236538394001,-0.04520462297708128,NOV,2611,13179400.0,15300656.337814232
2026 PLAN (2),2026,WEAR,140692921.09,1.149790470164513,175018112.87515122,0.1961236538394001,-0.04520462297708128,DEC,2612,18189600.0,21099737.339561023
2026 PLAN (2),2026,TOTAL,287531422.61,1.151241401999603,339462408.731239,0.1529800790471445,-0.042483240455112314,JAN,2601,28849485.65,36131932.0
2026 PLAN (2),2026,TOTAL,287531422.61,1.151241401999603,339462408.731239,0.1529800790471445,-0.042483240455112314,FEB,2602,36881936.96000001,45431865.97
2026 PLAN (2),2026,TOTAL,287531422.61,1.151241401999603,339462408.731239,0.1529800790471445,-0.042483240455112314,MAR,2603,18900000.0,21255760.620296367
2026 PLAN (2),2026,TOTAL,287531422.61,1.151241401999603,339462408.731239,0.1529800790471445,-0.042483240455112314,APR,2604,18550000.0,20988329.732357204
2026 PLAN (2),2026,TOTAL,287531422.61,1.151241401999603,339462408.731239,0.1529800790471445,-0.042483240455112314,MAY,2605,20900000.0,24725499.313674748
2026 PLAN (2),2026,TOTAL,287531422.61,1.151241401999603,339462408.731239,0.1529800790471445,-0.042483240455112314,JUN,2606,19220000.0,22607894.045072854
2026 PLAN (2),2026,TOTAL,287531422.61,1.151241401999603,339462408.731239,0.1529800790471445,-0.042483240455112314,JUL,2607,22500000.0,27200044.08903175
2026 PLAN (2),2026,TOTAL,287531422.61,1.151241401999603,339462408.731239,0.1529800790471445,-0.042483240455112314,AUG,2608,25050000.0,30052096.249894597
2026 PLAN (2),2026,TOTAL,287531422.61,1.151241401999603,339462408.731239,0.1529800790471445,-0.042483240455112314,SEP,2609,15400000.0,18729697.891540263
2026 PLAN (2),2026,TOTAL,287531422.61,1.151241401999603,339462408.731239,0.1529800790471445,-0.042483240455112314,OCT,2610,22780000.0,26071279.526870772
2026 PLAN (2),2026,TOTAL,287531422.61,1.151241401999603,339462408.731239,0.1529800790471445,-0.042483240455112314,NOV,2611,24050000.0,27278229.28218843
2026 PLAN (2),2026,TOTAL,287531422.61,1.151241401999603,339462408.731239,0.1529800790471445,-0.042483240455112314,DEC,2612,34450000.0,38989780.010312095
